date,open,high,low,close,volume,amount,outstanding_share,turnover
2026-03-30,12208.74,12417.0,12169.87,12321.55,2868459.0,4060684934.0,1252270215.0,0.0022906070635881092
2026-03-31,12738.05,12841.57,12568.06,12581.86,6169066.0,9015486797.0,1252270215.0,0.004926305781376426
2026-04-01,12707.59,12755.32,12606.85,12663.77,2912514.0,4256185472.0,1252270215.0,0.0023257871704630458
2026-04-02,12663.77,12710.98,12600.08,12667.59,2106437.0,3071809846.0,1252270215.0,0.0016820946268373874
2026-04-03,12664.64,12755.06,12625.25,12668.63,2019373.0,2953993081.0,1252270215.0,0.0016125696960699492
2026-04-07,12669.07,12755.4,12452.14,12495.26,2415218.0,3507471653.0,1252270215.0,0.0019286716006417194
2026-04-08,12668.63,12747.42,12600.34,12712.19,3383610.0,4947937007.0,1252270215.0,0.0027019807382386717
2026-04-09,12712.19,12712.19,12560.17,12672.88,2070476.0,3012278579.0,1252270215.0,0.0016533779812051188
2026-04-10,12661.17,12666.12,12504.63,12616.22,2886556.0,4187181529.0,1252270215.0,0.002305058417443874
2026-04-13,12529.8,12551.49,12434.35,12523.81,2521364.0,3629675490.0,1252270215.0,0.0020134344567158775
2026-04-14,12517.65,12569.71,12451.7,12554.96,2423261.0,3492544230.0,1252270215.0,0.001935094335849871
2026-04-15,12538.3,12762.26,12512.44,12733.71,3455348.0,5049317187.0,1252270215.0,0.0027592670963590715
2026-04-16,12733.28,12819.7,12668.63,12693.28,2451284.0,3597294838.0,1252270215.0,0.00195747209399211
2026-04-17,12148.0,12330.22,12146.88,12210.83,9682499.0,13631929446.0,1252270215.0,0.007731956636850937
2026-04-20,12174.04,12268.96,12148.0,12242.5,3645139.0,5127146041.0,1252270215.0,0.002910824641788673
2026-04-21,12243.45,12320.68,12234.78,12252.22,2175427.0,3074595192.0,1252270215.0,0.001737186570392078
2026-04-22,12278.16,12312.87,12191.22,12230.44,2691593.0,3793827534.0,1252270215.0,0.002149370772984487
2026-04-23,12217.42,12318.94,12192.26,12312.87,3770109.0,5332831151.0,1252270215.0,0.00301061939734788
2026-04-24,12261.67,12658.91,12261.67,12655.53,5545531.0,8003410999.0,1252270215.0,0.004428382096431161
2026-04-27,12321.55,12321.55,12167.09,12175.77,7279774.0,10239763452.0,1252270215.0,0.005813261317566353
2026-04-28,12165.36,12229.48,12148.96,12191.39,3400442.0,4772513712.0,1252270215.0,0.0027154219267284895
2026-04-29,12191.39,12232.61,12150.43,12158.16,3481313.0,4881691348.0,1252270215.0,0.002780001439226118
2026-04-30,12148.0,12158.16,11974.46,12016.02,5275267.0,7316111748.0,1252270215.0,0.004212562861283097
2026-05-06,11845.17,11965.78,11801.35,11931.08,4780604.0,6550750940.0,1252270215.0,0.003817549872812395
2026-05-07,11931.08,12043.88,11887.78,11896.8,4046147.0,5573286315.0,1252270215.0,0.003231049458442961
2026-05-08,11902.09,11998.5,11887.69,11913.63,3336853.0,4582855939.0,1252270215.0,0.00266464295008406
2026-05-11,11912.77,11912.77,11809.59,11812.46,5713510.0,7790721392.0,1252270215.0,0.004562521675882869
2026-05-12,11818.27,11831.98,11718.48,11753.63,5083743.0,6886304982.0,1252270215.0,0.004059621429229633
2026-05-13,11753.19,11788.77,11610.02,11662.86,5696787.0,7653257144.0,1252270215.0,0.0045491675293099585
2026-05-14,11610.02,11879.53,11585.55,11646.2,5524434.0,7428592859.0,1252270215.0,0.004411535093486193
2026-05-15,11585.29,11621.13,11515.53,11566.2,5818365.0,7749366540.0,1252270215.0,0.004646253604298973
2026-05-18,11592.67,11650.63,11450.45,11479.86,4966097.0,6594983723.0,1252270215.0,0.003965675251646866
2026-05-19,11470.32,11540.52,11436.48,11491.14,4325464.0,5719170335.0,1252270215.0,0.0034540979639925396
2026-05-20,11462.51,11566.55,11401.77,11410.45,4748733.0,6271273748.0,1252270215.0,0.0037920992954384052
2026-05-21,11392.92,11484.38,11375.74,11375.74,3886838.0,5112740391.0,1252270215.0,0.0031038333048590476
2026-05-22,11375.3,11383.63,11194.56,11195.25,4915714.0,6372389482.0,1252270215.0,0.003925441922293105
2026-05-25,11167.49,11321.85,11080.71,11157.77,4635276.0,5978725158.0,1252270215.0,0.0037014982425338607
2026-05-26,11153.17,11192.56,11020.06,11049.3,4593162.0,5867830633.0,1252270215.0,0.003667868120619638
2026-05-27,11002.79,11445.15,10847.3,11306.32,8272791.0,10586574902.0,1252270215.0,0.006606234741437175
2026-05-28,11193.52,11315.0,11028.65,11071.86,4588998.0,5895475019.0,1250081601.0,0.003670958756875584
2026-05-29,11025.18,11531.93,11019.97,11505.89,7647805.0,10037388211.0,1250081601.0,0.006117844622208786
2026-06-01,11514.57,11514.57,11291.66,11363.59,4384460.0,5741133268.0,1250081601.0,0.0035073390381017214
2026-06-02,11332.35,11509.02,11288.97,11342.94,3636185.0,4769963104.0,1250081601.0,0.0029087581139433153
2026-06-03,11315.0,11315.0,11072.04,11123.32,5247652.0,6743202681.0,1250081601.0,0.00419784756115293
2026-06-04,11097.98,11184.75,10991.25,11002.62,3350617.0,4273269325.0,1250081601.0,0.002680318626655797
2026-06-05,11089.39,11132.78,11000.36,11044.79,3130397.0,3984001862.0,1250081601.0,0.002504154126815278
2026-06-08,11037.33,11089.39,10933.2,10959.06,3082836.0,3898027116.0,1250081601.0,0.002466107810509244
2026-06-09,10959.15,10959.23,10868.56,10898.49,2786012.0,3500590715.0,1250081601.0,0.002228664111023901
2026-06-10,10864.48,11124.1,10848.25,11071.0,3924414.0,4991686419.0,1250081601.0,0.003139326262270138
2026-06-11,11038.37,11131.74,10993.16,11098.07,2535198.0,3230008220.0,1250081601.0,0.002028026008839722
2026-06-12,11030.21,11236.9,10976.68,11210.09,5049478.0,6477910214.0,1250081601.0,0.004039318710043154
2026-06-15,11216.95,11216.95,11020.84,11029.52,4158556.0,5303656129.0,1250081601.0,0.0033266276350866794
2026-06-16,10994.03,11001.58,10889.82,10895.63,3496974.0,4399957625.0,1250081601.0,0.002797396583713098
2026-06-17,10915.85,10931.21,10747.17,10759.66,4480330.0,5581256291.0,1250081601.0,0.00358403003165231
2026-06-18,10716.27,10749.86,10509.93,10542.73,5747173.0,7016713941.0,1250081601.0,0.004597438275551422
2026-06-22,10536.74,10870.73,10455.96,10771.9,5825131.0,7163236298.0,1250081601.0,0.004659800604488698
2026-06-23,10750.98,10967.91,10560.09,10607.38,5800405.0,7179745911.0,1250081601.0,0.004640021095710855
2026-06-24,10609.11,10775.89,10477.74,10479.22,4533528.0,5516574460.0,1250081601.0,0.0036265856535872654
2026-06-25,10473.31,10646.86,10412.57,10517.57,4844649.0,5860481755.0,1250081601.0,0.003875466206465669
2026-06-26,10650.13,10650.13,10375.66,10380.37,5006647.0,5922014054.0,1250081601.0,0.004005056146730697
2026-06-29,10383.66,10792.25,10223.86,10614.25,6687812.0,7949237761.0,1250081601.0,0.005349900354224956
2026-06-30,10543.54,10620.55,10445.83,10530.13,3960779.0,4684236159.0,1250081601.0,0.003168416363245074
2026-07-01,10482.25,10630.59,10359.94,10596.93,4247381.0,5033838236.0,1250081601.0,0.00339768299653584
2026-07-02,10596.93,10796.87,10574.72,10685.66,5087015.0,6122360932.0,1250081601.0,0.004069346349814807
2026-07-03,10705.56,10749.08,10525.78,10609.72,3426755.0,4099266243.0,1250081601.0,0.0027412250506357143
